date,Payrolls - New York-Newark-Jersey City (000s) Period Chg,Payrolls - Los Angeles-Long Beach-Anaheim (000s) Period Chg,Payrolls - Chicago-Naperville-Elgin (000s) Period Chg,Payrolls - Dallas-Fort Worth-Arlington (000s) Period Chg,Payrolls - Houston-Pasadena-The Woodlands (000s) Period Chg,Payrolls - Washington-Arlington-Alexandria (000s) Period Chg,Payrolls - Philadelphia-Camden-Wilmington (000s) Period Chg,Payrolls - Atlanta-Sandy Springs-Roswell (000s) Period Chg,Payrolls - Miami-Fort Lauderdale-West Palm Beach (000s) Period Chg,Payrolls - Boston-Cambridge-Newton (000s) Period Chg,Payrolls - Phoenix-Mesa-Chandler (000s) Period Chg,Payrolls - Seattle-Tacoma-Bellevue (000s) Period Chg,Payrolls - Detroit-Warren-Dearborn (000s) Period Chg,Payrolls - Minneapolis-St. Paul-Bloomington (000s) Period Chg,Payrolls - Riverside-San Bernardino-Ontario (000s) Period Chg,Payrolls - Denver-Aurora-Centennial (000s) Period Chg,Payrolls - San Diego-Chula Vista-Carlsbad (000s) Period Chg,Payrolls - Tampa-St. Petersburg-Clearwater (000s) Period Chg,Payrolls - Orlando-Kissimmee-Sanford (000s) Period Chg,Payrolls - Baltimore-Columbia-Towson (000s) Period Chg,Payrolls - Austin-Round Rock-San Marcos (000s) Period Chg,Payrolls - Charlotte-Concord-Gastonia (000s) Period Chg,Payrolls - Portland-Vancouver-Hillsboro (000s) Period Chg,Payrolls - Nashville-Davidson-Murfreesboro-Franklin (000s) Period Chg,Payrolls - Pittsburgh (000s) Period Chg,Payrolls - San Antonio-New Braunfels (000s) Period Chg,"Payrolls - Columbus, OH (000s) Period Chg",Payrolls - Las Vegas-Henderson-North Las Vegas (000s) Period Chg,Payrolls - Cincinnati (000s) Period Chg,Payrolls - Indianapolis-Carmel-Greenwood (000s) Period Chg,Payrolls - Kansas City (000s) Period Chg,Payrolls - Sacramento-Roseville-Folsom (000s) Period Chg,Payrolls - Cleveland (000s) Period Chg,Payrolls - Salt Lake City-Murray (000s) Period Chg,Payrolls - Raleigh-Cary (000s) Period Chg,Payrolls - San Francisco-Oakland-Fremont (000s) Period Chg,Payrolls - San Jose-Sunnyvale-Santa Clara (000s) Period Chg,Payrolls - Santa Rosa-Petaluma (000s) Period Chg,Payrolls - Vallejo (000s) Period Chg,Payrolls - Napa (000s) Period Chg
1995-06-01,0.06,0.26,0.31,0.23,0.55,0.2,0.31,0.56,0.28,0.21,0.39,0.31,0.46,0.44,0.18,0.4,0.32,0.25,0.95,0.03,0.46,0.22,0.44,0.62,0.2,0.26,0.3,0.68,0.36,0.25,0.11,0.18,0.35,0.39,0.57,0.26,0.69,0.61,0.61,-0.22
1995-07-01,-0.39,-0.35,0.09,0.2,0.11,-0.32,-0.33,0.23,-0.15,0.17,0.3,-0.62,-0.14,0.12,0.01,0.22,0.28,-0.33,-0.04,-0.23,-0.04,-0.13,0.0,-0.06,-0.49,0.45,-0.33,0.38,-0.17,0.33,0.23,-0.39,0.03,0.43,0.14,0.32,0.38,0.0,-0.61,0.0
1995-08-01,0.29,0.32,0.12,0.33,0.24,0.1,0.38,0.59,0.42,0.34,0.62,0.8,0.15,0.26,0.04,0.41,0.45,0.64,0.38,0.11,0.59,0.04,0.94,-0.09,0.26,0.14,0.72,0.38,0.24,0.37,0.42,0.84,-0.22,0.5,0.45,0.4,0.93,0.47,0.82,1.12
1995-09-01,0.17,0.38,0.84,0.35,0.15,0.3,0.32,0.59,0.45,0.12,0.94,0.36,0.22,0.03,0.88,0.47,0.11,0.17,0.42,0.21,0.74,0.29,0.71,0.99,0.07,0.22,0.7,0.79,0.17,0.37,0.17,0.49,0.52,0.47,0.56,0.29,0.43,0.6,0.51,0.0
1995-10-01,0.16,-0.22,-0.14,0.26,0.24,0.13,0.24,0.27,0.07,0.29,1.02,-1.95,0.33,0.47,0.03,0.12,0.14,0.04,0.4,-0.39,0.41,0.24,0.18,-0.12,0.1,0.06,-0.35,0.41,-0.1,0.15,0.25,0.29,0.07,0.28,0.87,-0.39,0.29,0.86,-0.7,1.99
1995-11-01,0.13,0.16,0.05,0.27,0.06,0.04,0.1,0.37,0.37,0.14,-0.14,0.27,0.21,0.18,0.45,0.05,0.44,0.39,0.73,0.44,0.37,0.27,0.22,0.23,0.02,0.46,0.19,0.78,-0.18,0.05,0.45,0.46,0.25,0.28,0.33,0.31,0.56,0.86,0.41,0.22
1995-12-01,-0.07,0.26,0.19,0.52,0.27,0.07,0.03,0.4,0.15,0.09,0.83,1.49,0.5,0.25,0.31,0.74,0.15,0.63,0.66,0.11,0.54,0.23,0.51,0.58,-0.19,0.27,0.23,0.58,0.44,-0.01,0.43,0.1,0.13,0.58,0.47,0.29,0.49,-0.26,-0.3,-0.22
1996-01-01,-0.39,0.08,0.15,0.41,0.19,-0.15,-0.66,0.09,0.19,-0.12,1.77,0.86,0.63,0.08,0.5,-0.26,0.24,-0.19,0.18,-1.42,0.32,0.29,0.93,-0.29,0.17,-0.08,-0.14,0.87,0.37,-0.23,0.12,0.83,-0.24,0.93,0.19,0.63,0.97,0.59,-0.41,1.3
1996-02-01,0.75,0.15,0.05,0.28,0.15,0.67,0.87,0.57,0.44,0.47,0.12,0.28,0.06,0.25,0.19,0.23,0.07,0.49,0.88,1.46,0.35,0.53,-0.26,0.14,0.23,0.03,0.31,1.13,0.75,0.38,0.1,-0.03,0.44,0.06,1.1,0.13,0.39,0.39,0.1,1.5
1996-03-01,-0.03,0.11,0.11,0.32,0.11,0.24,0.2,0.42,0.59,0.18,0.39,0.42,-0.24,0.23,0.07,0.45,-0.15,0.93,0.77,0.25,0.5,0.29,0.48,0.53,0.12,0.14,0.17,0.72,-0.13,0.23,0.15,-0.12,0.08,0.31,0.54,0.2,0.19,0.0,-0.1,0.0
1996-04-01,0.05,0.17,0.02,0.41,0.4,0.13,0.59,0.53,-0.14,0.27,0.0,0.01,-0.08,0.03,-0.09,0.17,0.47,-1.41,0.19,0.11,0.51,0.19,0.17,-0.29,0.29,0.33,0.23,1.48,0.0,0.11,-0.09,0.07,-0.17,0.5,0.24,-0.03,0.48,0.45,-1.53,0.42
1996-05-01,0.35,0.28,0.13,0.35,0.15,0.26,0.39,0.54,0.21,0.25,0.58,0.45,0.09,0.28,0.05,0.37,0.43,0.2,0.68,0.24,0.18,0.19,0.24,0.12,-0.09,0.35,0.13,0.15,0.26,0.1,0.25,0.2,0.48,0.42,0.48,0.26,0.47,0.45,2.38,0.0
1996-06-01,0.13,0.07,0.14,0.34,0.04,0.25,-0.08,0.7,0.15,0.26,0.5,0.26,0.1,0.14,-0.22,0.28,0.15,0.33,0.83,0.11,0.02,0.35,0.46,0.15,0.0,0.23,0.16,0.63,0.17,0.01,-0.21,0.3,0.23,0.23,0.21,0.36,0.07,0.13,-0.3,1.47
1996-07-01,-0.08,0.06,0.03,0.44,0.47,0.43,0.1,2.51,0.28,0.17,0.63,0.5,0.39,0.0,-0.15,-0.35,0.26,0.3,0.33,0.12,0.26,0.06,0.0,0.44,0.2,0.02,0.38,0.97,0.11,0.07,0.87,-0.32,-0.19,0.43,0.72,0.31,0.54,0.38,0.4,0.21
1996-08-01,0.29,0.17,0.2,0.28,0.08,0.28,0.18,-2.36,0.37,0.22,0.46,0.4,0.25,0.21,0.86,0.96,0.22,0.21,0.74,0.38,0.51,0.21,0.68,-0.57,0.06,0.45,0.09,0.64,0.29,0.0,0.0,0.65,0.2,0.76,0.29,0.15,0.18,0.7,-0.5,-0.21
1996-09-01,0.11,0.3,-0.13,0.31,0.03,0.17,-0.01,-0.18,0.35,0.23,0.6,0.35,0.34,0.22,0.63,0.31,0.1,0.52,0.79,0.13,-0.05,0.46,0.36,1.0,-0.09,0.06,-0.07,0.74,-0.2,0.06,0.21,0.27,0.05,-0.29,-0.45,0.3,0.03,0.44,0.0,1.65
1996-10-01,0.2,0.2,0.51,0.59,0.97,0.17,0.28,0.2,0.3,0.22,0.42,0.65,0.23,0.11,0.56,0.19,0.24,0.57,0.42,0.23,0.56,0.63,0.21,0.3,0.5,0.79,-0.23,0.11,0.47,-0.01,0.05,0.0,0.14,0.82,1.28,0.21,0.68,0.38,-0.1,-0.61
1996-11-01,0.23,0.26,0.2,0.38,0.27,0.28,0.09,0.36,0.25,0.3,0.71,0.62,0.2,0.51,0.32,0.58,0.47,0.2,0.47,0.06,0.23,0.5,0.55,0.41,0.09,0.62,0.13,1.61,0.6,0.26,0.12,0.59,-0.07,0.41,0.37,0.5,0.51,0.63,0.51,0.61
1996-12-01,0.09,-0.04,0.01,0.36,-0.24,0.09,0.14,0.29,0.38,0.04,0.24,0.22,0.03,-0.06,0.32,0.05,0.14,0.46,0.63,-0.36,0.34,0.41,0.33,-0.12,0.24,0.03,0.08,0.42,0.12,0.05,0.34,-0.6,0.19,0.16,0.5,0.15,0.39,0.44,0.3,0.81
1997-01-01,0.04,0.16,0.08,0.4,0.57,0.33,0.31,0.22,0.44,0.79,0.42,0.41,0.42,-0.3,0.7,0.74,0.89,0.28,0.69,0.79,0.3,-0.21,0.65,0.16,0.2,0.24,0.43,0.88,0.4,0.5,0.18,0.57,0.24,0.06,0.49,0.38,0.24,0.06,0.6,0.2
1997-02-01,0.13,0.37,0.02,0.48,0.54,0.19,0.32,0.44,0.24,0.04,0.49,0.45,-0.13,0.37,0.77,0.44,0.47,0.23,0.34,0.19,0.77,0.34,0.2,0.49,0.12,0.52,0.11,0.54,0.08,-0.69,0.32,0.4,0.18,0.24,0.41,0.46,0.76,0.68,0.7,-0.2
1997-03-01,0.28,0.33,0.28,0.57,0.4,0.28,0.18,0.48,0.1,0.43,0.41,0.53,0.27,0.17,0.55,0.26,0.45,0.35,0.33,0.25,0.43,0.39,0.3,0.0,0.12,0.63,0.45,0.17,0.18,0.42,0.31,0.26,0.27,0.52,0.28,0.32,0.7,0.49,0.5,1.01
1997-04-01,0.13,0.34,0.36,0.54,0.3,0.08,0.1,0.16,1.15,-0.03,0.56,0.81,-0.69,0.18,0.51,0.41,0.52,0.84,1.02,0.21,0.42,0.18,0.47,0.79,-0.3,0.15,0.49,-0.03,0.29,0.21,0.47,0.45,0.25,0.3,0.41,0.6,0.61,0.31,-1.19,0.0
1997-05-01,0.08,0.09,0.27,0.49,0.48,0.12,0.27,0.28,0.16,0.23,0.32,0.5,-0.01,0.35,0.18,0.29,0.45,-0.04,0.65,0.25,0.12,0.26,0.63,0.28,0.04,0.31,0.42,0.41,0.25,-0.06,0.4,0.17,0.17,0.44,0.62,0.22,0.29,0.61,0.7,1.0
1997-06-01,0.27,0.31,0.14,0.5,0.3,0.13,0.18,0.17,0.07,0.15,0.16,0.59,0.0,0.14,0.33,0.38,0.46,0.86,0.45,0.11,0.16,0.2,0.06,0.37,0.06,0.23,0.28,0.74,0.07,-0.22,0.16,0.08,0.2,0.2,0.2,0.14,0.62,-0.37,0.99,-0.4
1997-07-01,0.34,0.3,0.0,0.29,0.23,0.51,0.38,0.4,0.69,0.06,0.4,0.19,0.84,0.68,0.05,0.2,0.6,0.84,0.72,0.2,1.4,0.05,0.27,0.03,0.29,0.13,0.23,0.36,0.46,0.73,0.23,0.49,0.38,0.28,0.81,0.08,0.27,1.1,0.49,-1.19
1997-08-01,0.2,0.11,-0.01,0.3,0.5,0.11,0.21,-0.04,0.29,-0.03,-0.1,0.22,-0.48,0.1,-0.16,0.43,0.26,0.31,0.39,0.07,0.07,0.35,-0.03,0.1,0.16,0.32,0.19,0.19,0.13,0.07,0.14,0.25,0.16,-0.06,0.4,-0.02,0.32,0.48,0.98,-1.41
1997-09-01,0.34,0.15,0.2,0.72,0.54,0.4,0.37,0.82,0.34,0.48,0.88,0.27,0.42,0.27,1.05,0.32,0.42,0.68,1.02,0.16,0.66,0.43,0.33,0.23,0.22,0.26,0.17,0.54,0.13,0.1,0.29,0.82,0.18,0.48,0.33,0.69,0.37,0.3,0.29,2.44
1997-10-01,0.23,0.33,0.06,0.13,0.39,-0.12,0.09,0.4,0.04,0.28,0.75,0.56,-0.21,0.09,-0.24,0.4,-0.08,0.28,0.45,0.26,0.14,0.02,0.43,0.47,0.27,0.46,0.08,0.35,0.01,0.17,0.13,-0.15,0.12,0.2,-0.15,0.07,0.62,0.18,0.1,0.8
1997-11-01,0.14,0.08,0.37,0.46,0.55,0.21,0.45,0.57,0.36,0.36,0.52,0.37,-0.04,0.3,0.17,0.3,0.3,0.29,0.39,0.15,0.72,0.41,0.11,0.45,0.18,0.1,0.36,0.22,0.13,0.21,0.39,0.28,0.12,0.26,0.75,0.19,0.3,0.06,0.19,0.39
1997-12-01,0.31,0.32,0.3,0.25,0.33,0.39,0.23,0.56,0.16,0.36,0.63,0.5,0.06,0.16,0.44,0.37,0.48,0.35,0.61,0.31,0.02,0.28,0.32,0.25,0.2,0.26,0.41,0.7,0.2,0.47,-0.12,0.28,0.1,0.43,0.05,0.58,0.55,0.6,1.54,0.39
1998-01-01,0.14,0.54,0.35,0.41,0.46,0.19,0.06,0.48,0.18,0.1,0.35,0.12,1.86,0.2,0.68,0.32,0.53,0.39,0.2,0.4,1.14,0.67,-0.17,1.07,-0.06,0.64,-0.11,-0.28,0.01,0.12,0.2,0.23,-0.05,0.27,0.1,0.04,0.4,0.3,-1.61,1.57
1998-02-01,0.25,0.16,0.05,0.4,0.48,0.34,0.28,0.28,0.09,0.24,0.2,0.53,-0.13,0.05,0.18,0.29,0.42,0.41,0.48,0.19,0.45,0.37,0.35,0.37,0.14,0.06,0.1,0.32,0.21,0.26,0.49,0.3,0.09,0.25,0.45,-0.04,0.13,0.47,-0.29,0.19
1998-03-01,0.12,0.21,-0.14,0.17,0.43,0.23,-0.03,0.18,0.17,0.17,0.62,0.13,-0.0,0.3,0.37,0.32,0.07,-0.32,0.36,0.09,0.47,0.08,0.0,0.04,0.01,0.21,0.02,0.02,0.26,0.18,-0.23,0.56,0.1,0.06,0.05,0.19,0.05,0.3,0.77,0.58
1998-04-01,0.07,0.09,0.25,0.48,0.36,0.34,-0.06,-0.12,-0.24,0.2,0.26,0.64,0.13,0.3,0.37,0.24,0.58,-0.01,0.4,-0.35,0.5,1.0,0.2,-0.5,0.18,-0.06,0.23,0.47,0.38,0.12,-0.05,0.14,0.22,0.08,0.54,0.47,0.02,0.59,0.67,-0.38
1998-05-01,0.25,0.51,0.4,0.47,0.4,0.43,0.36,0.62,0.28,0.25,0.65,0.51,-0.03,0.45,0.47,0.32,0.54,0.39,0.21,0.11,0.56,0.51,0.02,0.61,0.25,-0.08,0.32,0.81,0.47,0.37,0.56,0.57,0.17,0.35,0.42,0.31,0.26,0.53,0.19,0.96
1998-06-01,0.09,0.33,-0.15,0.27,0.41,0.19,-0.22,0.4,0.33,0.15,0.34,0.26,-0.08,-0.02,0.52,0.29,0.5,1.16,0.9,0.46,0.51,0.54,-0.06,-0.45,0.08,0.01,0.31,1.02,0.05,0.2,0.19,0.3,0.17,0.48,0.34,0.38,0.03,0.17,0.19,0.76
1998-07-01,0.4,-0.04,0.28,0.43,0.41,0.29,0.36,0.14,0.2,0.36,-0.06,0.26,-1.48,-0.04,0.91,0.47,0.36,-0.66,0.6,0.15,0.21,0.63,0.12,0.63,-0.11,0.86,-0.12,0.72,0.04,-0.04,0.02,0.27,-0.34,0.48,0.41,0.28,-0.06,0.52,0.38,1.13
1998-08-01,0.07,0.29,0.14,0.48,0.45,0.21,0.3,0.43,0.11,0.2,0.85,0.15,0.64,0.21,0.53,0.24,0.49,0.28,-0.38,0.2,0.43,0.43,0.06,0.2,0.18,0.31,0.58,0.66,0.14,0.24,0.07,0.5,0.29,0.31,0.56,0.3,-0.08,-0.29,0.19,1.49
1998-09-01,0.08,0.1,0.27,0.39,0.23,0.33,0.11,0.31,0.17,0.12,0.73,0.25,0.08,-0.58,0.73,0.15,0.4,0.16,1.01,0.12,0.42,0.1,-0.14,-0.04,0.03,0.25,0.24,0.37,0.05,0.02,-0.02,0.43,0.11,-0.08,0.27,0.34,-0.01,1.39,1.32,-0.37
1998-10-01,0.43,0.09,0.11,0.29,0.08,0.27,0.11,0.57,0.49,-0.22,-0.01,0.24,0.3,0.97,0.63,0.6,0.51,0.53,0.82,0.27,0.58,-0.11,-0.02,0.52,0.21,0.5,0.1,0.75,0.52,0.98,-0.02,0.81,0.52,0.46,0.17,0.16,-0.01,-0.46,0.28,-0.18
1998-11-01,0.15,0.37,0.11,0.48,0.26,0.33,0.24,0.52,0.29,0.28,0.47,0.23,0.03,0.3,0.68,0.25,0.26,0.36,0.27,0.17,0.45,0.15,-0.02,-0.03,0.24,0.35,0.32,0.9,0.05,0.34,0.1,0.44,-0.2,0.5,0.36,0.32,0.13,0.57,0.37,0.74
1998-12-01,0.15,0.07,0.02,0.43,0.3,0.32,0.19,0.15,0.37,0.13,0.18,0.2,0.07,0.25,0.37,0.3,0.33,0.2,0.36,0.32,0.35,0.08,0.07,0.35,0.09,0.24,0.19,0.57,0.19,0.2,0.11,0.42,0.08,-0.21,0.41,0.11,0.1,-0.57,0.56,0.55
1999-01-01,0.6,-0.32,-0.01,-0.17,-0.52,0.26,0.22,0.66,-0.35,0.19,0.51,0.11,-0.56,0.17,-0.13,0.4,-0.02,-0.25,-0.37,0.04,0.56,0.66,0.2,-0.13,-0.61,0.36,-0.01,0.59,-0.51,-1.22,-0.1,0.47,0.08,0.27,-0.14,0.19,0.13,0.75,1.2,-0.36
1999-02-01,0.25,0.35,0.34,0.47,0.19,0.31,0.27,0.56,0.59,0.25,0.39,0.0,-0.35,0.22,0.53,0.61,0.35,0.71,0.8,0.35,0.46,0.8,0.04,0.21,0.86,0.05,0.54,0.56,0.58,0.68,0.09,0.89,0.2,0.28,0.48,0.19,0.19,0.86,-0.18,1.28
1999-03-01,0.04,0.02,0.02,0.26,0.27,0.06,0.19,0.03,-0.01,0.21,0.25,0.38,0.11,0.12,0.31,0.01,0.45,0.2,0.48,0.15,0.44,-0.03,0.34,0.39,-0.05,0.12,-0.06,0.65,-0.07,0.41,-0.03,-0.08,-0.03,0.19,0.55,0.22,-0.07,0.0,-0.27,0.18
1999-04-01,0.31,0.35,-0.24,0.13,-0.58,0.67,0.3,0.87,-0.01,0.56,0.57,0.14,1.24,0.46,0.31,0.51,0.3,0.2,1.16,0.51,0.35,-0.11,0.04,0.31,0.39,0.52,0.32,0.37,0.32,0.62,0.13,0.27,0.26,0.49,0.64,0.1,0.01,-0.11,0.09,0.36
1999-05-01,-0.17,0.12,0.01,0.15,-0.04,-0.04,0.12,0.62,0.4,0.06,0.28,-0.06,-0.17,0.18,0.31,0.18,0.22,0.37,0.25,0.17,0.5,0.2,-0.32,-0.03,0.16,0.05,0.12,0.6,-0.21,0.28,-0.19,0.18,-0.06,0.11,0.07,0.37,0.18,0.68,0.27,0.9
1999-06-01,0.22,0.05,0.14,0.34,0.33,0.2,0.24,0.37,0.47,0.31,0.55,0.2,-0.07,0.06,0.58,0.24,0.3,1.27,1.43,0.11,0.81,0.14,0.31,0.17,0.28,0.27,0.23,0.46,0.12,0.2,0.19,0.58,0.09,0.36,0.4,0.05,0.0,-0.06,0.73,0.89
1999-07-01,0.47,0.49,0.11,0.3,0.12,0.97,0.07,-0.55,-0.08,0.18,0.41,0.47,-0.07,0.27,1.9,0.25,0.33,-1.08,-0.37,0.55,0.62,0.77,1.05,0.49,0.29,0.23,1.37,0.56,0.98,0.52,0.29,0.36,0.46,0.35,0.0,0.44,0.58,0.0,0.45,-1.24
1999-08-01,0.16,-0.1,0.04,0.34,0.22,0.29,0.19,0.42,0.13,0.18,0.19,0.12,-0.23,0.31,0.47,-0.01,-0.01,0.03,-0.61,-0.02,0.45,0.44,0.0,0.18,0.13,0.23,-0.11,0.59,-0.03,0.23,0.09,0.36,-0.09,0.28,0.23,0.15,0.45,0.28,0.54,0.0
1999-09-01,-0.28,0.03,0.01,0.3,0.17,0.36,-0.28,0.37,0.12,0.22,0.17,0.06,-0.12,-0.28,0.2,0.24,0.52,0.5,0.77,0.04,0.28,0.29,-0.2,0.46,-0.14,0.37,0.14,0.48,0.34,-0.07,0.05,0.34,-0.09,0.19,0.07,0.14,0.36,0.34,0.27,-0.18
1999-10-01,0.35,0.58,0.64,0.48,0.33,0.59,0.5,0.51,0.6,0.31,0.26,0.24,2.1,0.95,0.58,0.58,0.55,0.65,0.42,0.83,0.43,0.45,0.47,0.18,-0.09,0.0,0.54,0.91,-0.12,0.48,0.27,0.05,0.23,-0.28,0.28,0.27,0.34,0.61,0.54,2.87
1999-11-01,0.26,0.16,0.1,0.28,0.16,0.32,0.04,0.21,0.24,0.21,0.23,0.24,0.15,0.05,0.38,0.38,0.29,0.4,0.41,-0.12,0.49,0.28,0.22,0.3,0.21,0.09,0.22,0.78,0.26,0.31,0.25,0.22,0.16,0.5,0.14,0.14,0.27,0.06,0.62,0.17
1999-12-01,0.19,0.28,0.12,0.46,0.36,0.32,0.31,0.31,0.53,0.29,0.32,0.35,0.48,0.29,0.64,0.44,0.15,0.48,0.46,0.03,0.55,0.5,0.08,0.38,0.22,0.32,0.47,0.28,0.38,0.33,0.03,0.6,0.16,0.22,0.44,0.44,0.29,0.72,0.88,-0.17
2000-01-01,0.34,-0.05,-0.14,0.24,0.06,0.36,0.07,0.12,0.08,0.28,0.05,0.2,0.45,0.2,0.1,0.29,0.53,0.93,0.08,0.06,0.42,0.25,-0.29,-0.11,0.23,0.4,-0.15,-0.06,-0.27,0.27,-0.17,-0.08,0.02,0.07,0.37,0.21,1.12,0.06,0.17,-0.17
2000-02-01,0.14,0.12,0.12,0.26,0.2,0.22,-0.04,0.15,0.02,0.21,0.46,-0.48,-0.44,0.3,0.17,0.46,0.24,0.31,0.28,-0.27,0.54,-0.28,0.41,-0.1,0.24,0.24,0.14,0.06,0.23,0.29,-0.01,0.21,-0.01,0.26,0.12,0.4,0.34,0.06,0.44,-1.05
2000-03-01,0.26,0.13,0.32,0.35,0.36,0.54,0.37,0.35,0.18,0.37,0.35,1.38,0.02,0.37,0.18,0.44,0.35,0.9,0.22,0.6,0.61,0.55,0.04,0.93,0.35,-0.13,0.2,0.29,0.18,0.43,0.16,0.09,0.05,0.35,0.48,0.39,0.48,0.39,-0.35,0.88
2000-04-01,0.5,0.26,0.14,0.36,0.24,0.6,0.23,-0.07,0.93,0.28,0.25,-0.49,0.87,0.3,0.38,0.33,-0.13,0.08,0.08,0.37,0.16,0.44,0.24,-0.56,0.25,0.47,0.11,0.64,-0.25,-0.43,0.05,0.43,0.02,0.33,0.14,0.34,0.61,0.77,1.05,0.7
2000-05-01,0.11,0.24,0.04,0.44,0.25,0.24,0.04,0.23,0.34,0.13,0.66,0.38,-0.06,-0.08,0.78,0.38,0.49,0.24,0.38,0.3,0.86,0.28,0.42,0.18,0.07,0.45,0.15,0.68,0.17,0.16,-0.02,0.39,0.12,0.29,0.05,0.35,0.78,0.11,-0.43,-0.52
2000-06-01,0.16,0.06,0.07,0.47,0.29,0.46,0.09,0.59,0.2,0.29,-0.16,0.33,0.16,0.38,0.13,0.31,0.15,-0.07,0.2,0.21,0.51,0.49,0.35,0.26,-0.14,-0.03,0.09,0.0,-0.01,0.18,0.14,0.57,-0.09,-0.07,0.34,0.51,0.81,0.49,1.82,-0.17
2000-07-01,-0.12,0.26,-0.16,0.25,0.17,0.03,-0.01,-0.13,0.37,0.52,0.2,-0.5,-0.36,-0.01,0.08,0.31,-0.01,-0.32,-0.04,-0.1,0.5,-0.33,0.4,-0.28,0.37,0.11,0.43,0.66,-0.16,-0.03,-0.71,-0.57,-0.11,-0.09,0.05,0.24,1.27,0.27,-0.68,0.35
2000-08-01,-0.17,0.16,0.3,0.07,0.04,0.25,-0.29,0.03,0.36,-0.16,0.41,0.46,-0.1,0.16,0.38,0.26,0.03,0.77,0.29,0.21,0.57,-0.42,0.21,0.14,-0.44,-0.01,0.19,1.43,-0.18,0.03,0.61,0.86,-0.05,0.31,0.14,0.36,0.28,0.16,0.51,0.17
2000-09-01,0.61,0.17,-0.04,0.28,0.31,0.32,0.44,0.14,0.23,0.38,0.45,0.19,-0.31,0.07,0.67,0.23,0.56,0.03,0.18,0.22,0.01,0.28,0.03,-0.05,0.56,0.2,-0.1,-0.31,0.06,0.12,0.12,0.05,0.07,0.25,0.46,0.1,0.38,0.38,-0.26,0.35
2000-10-01,0.16,-0.06,0.14,0.11,0.2,0.27,0.0,0.22,-0.16,0.45,0.16,0.08,0.38,0.11,-0.17,0.02,0.3,-0.61,-0.22,0.24,0.36,0.2,-0.03,0.0,-0.1,-0.11,0.21,-0.04,0.08,0.03,0.15,0.05,-0.17,0.62,-0.02,0.07,-0.27,0.0,-0.6,0.0
2000-11-01,0.18,0.2,0.06,0.07,0.1,0.34,0.17,-0.02,0.45,0.24,0.23,0.04,-0.03,0.02,0.43,0.27,0.31,0.27,0.19,0.13,0.23,0.01,0.36,-0.15,0.11,0.2,0.1,0.52,0.01,-0.43,-0.35,0.46,-0.06,0.22,0.27,0.33,0.54,0.48,1.2,0.35
2000-12-01,0.2,0.17,-0.09,0.25,0.29,0.28,0.31,0.1,0.08,0.16,0.49,0.32,-0.28,0.04,0.43,0.2,0.49,0.03,0.11,0.4,0.19,0.03,0.11,-0.11,-0.11,0.28,0.13,0.27,0.03,0.06,-0.22,0.63,-0.1,0.43,-0.07,0.25,0.34,0.21,0.68,0.35
2001-01-01,-0.18,0.6,-0.01,0.06,0.16,-0.31,-0.21,0.13,0.2,0.04,-0.39,-0.43,-1.48,0.11,1.16,-0.09,-0.05,-1.53,-0.31,-0.39,-0.14,-0.1,0.05,0.05,0.73,-0.17,0.46,1.65,0.09,0.66,0.66,-0.11,0.08,0.77,0.47,-0.11,-0.21,0.21,-1.18,5.16
2001-02-01,-0.01,-0.09,0.03,0.08,0.24,0.12,0.03,0.04,0.29,-0.04,0.46,-0.19,0.26,0.08,-0.08,-0.11,0.15,0.13,0.14,0.05,-0.06,-0.08,-0.2,-0.15,0.18,0.41,-0.08,0.63,-0.02,-0.17,-0.02,0.24,-0.24,-0.16,0.16,-0.08,-0.23,0.48,0.09,0.16
2001-03-01,-0.06,0.09,-0.09,0.02,0.13,-0.02,-0.05,-0.04,0.02,-0.31,0.27,-0.03,-0.2,0.01,0.53,-0.16,0.23,0.08,0.23,0.0,-0.14,-0.32,-0.29,-0.15,-0.14,0.21,-0.03,0.08,-0.12,0.43,0.0,0.33,-0.14,0.11,0.04,0.13,-0.46,0.16,0.6,0.0
2001-04-01,-0.21,-0.36,-0.15,-0.15,0.19,-0.17,-0.11,0.1,0.09,-0.27,-0.43,-0.41,-0.48,-0.38,0.04,-0.28,0.11,-0.15,-0.26,-0.24,-0.58,0.07,-0.48,0.23,-0.27,-0.22,-0.17,-0.03,-0.43,0.17,-0.51,0.12,-0.38,-0.36,-0.29,-0.93,-1.11,-0.21,-0.25,0.0
2001-05-01,-0.02,-0.32,-0.09,-0.23,0.0,0.12,-0.02,-0.22,-0.09,-0.25,-0.22,-0.15,-0.4,-0.13,0.21,-0.25,0.15,-0.04,0.08,-0.09,-0.28,-0.28,-0.27,-0.25,-0.24,0.3,-0.25,-0.1,-0.09,-0.06,0.02,-0.07,-0.26,-0.07,-0.2,-0.54,-1.0,-0.16,0.6,0.0
2001-06-01,0.02,0.18,0.01,-0.07,-0.05,0.26,0.07,0.09,0.2,-0.29,-0.07,-0.16,-0.09,-0.05,0.45,0.07,-0.04,0.17,-0.26,0.12,-0.26,-0.19,-0.16,0.0,0.19,0.46,-0.24,0.44,0.02,0.07,-0.16,0.18,-0.18,-0.27,-0.14,-0.36,-0.91,-0.42,0.17,0.16
